,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters,state,Name
2,2090,294,0,0.0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,30.0,34.0,152.0,30.0,2,Alaska,Hilltop Ski Area
4,11100,1800,0,0.0,0,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,74.0,78.0,104.0,80.0,1,Arizona,Sunrise Park Resort
5,7800,600,0,0.0,0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,174.87323943661968,110.0,84.0,300.0,47.0,47.0,107.0,0.0,1,California,Yosemite Ski & Snowboard Area
8,7700,500,0,0.0,0,1,1,3,1,2,8,33.0,6.0,1.0,380.0,200.0,150.0,54.0,400.0,49.0,64.16681003584229,150.0,200.0,1,California,Boreal Mountain Resort
9,8200,1600,0,0.0,0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,174.87323943661968,115.10394265232976,69.0,350.0,78.0,78.0,140.0,0.0,1,California,Dodge Ridge
10,8012,750,0,0.0,0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,75.0,170.0,0.0,1,California,Donner Ski Ranch
12,10090,2590,0,0.0,0,2,0,0,4,1,7,41.0,2.0,2.0,1500.0,174.87323943661968,115.10394265232976,58.0,250.0,57.91695652173913,64.16681003584229,128.0,0.0,1,California,June Mountain
15,6890,1435,0,0.0,0,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,49.0,59.0,130.0,0.0,1,California,Mt. Shasta Ski Park
16,8200,1600,0,0.0,0,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,84.0,150.0,73.0,1,California,Mountain High
20,8709,1679,0,0.0,0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,140.0,62.0,300.0,83.0,83.0,144.0,0.0,1,California,Ski China Peak
21,8200,1200,0,0.0,0,2,0,4,5,5,16,27.0,6.0,1.2,240.0,240.0,115.10394265232976,67.0,100.0,57.91695652173913,64.16681003584229,130.0,150.0,1,California,Snow Summit
22,7841,1041,0,0.0,0,0,0,5,6,1,12,28.0,6.0,1.2,240.0,188.0,111.0,82.0,160.0,69.0,79.0,143.0,164.0,1,California,Snow Valley
23,7352,652,0,0.0,0,0,0,1,1,2,4,18.0,0.0,0.4,200.0,20.0,150.0,83.0,400.0,50.0,50.0,144.0,0.0,1,California,Soda Springs
25,7350,600,0,0.0,0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,174.87323943661968,150.0,48.0,400.0,69.0,69.0,144.0,0.0,1,California,Tahoe Donner
37,11952,1162,0,0.0,0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,174.87323943661968,143.0,80.0,350.0,89.0,89.0,136.0,0.0,1,Colorado,Monarch Mountain
38,9850,1650,0,0.0,0,1,0,0,2,2,5,42.0,2.0,1.5,1600.0,42.0,111.0,53.0,250.0,71.0,71.0,110.0,0.0,1,Colorado,Powderhorn
40,11700,1200,0,0.0,0,0,0,1,1,2,4,41.0,1.0,1.0,400.0,174.87323943661968,130.0,74.0,260.0,56.0,56.0,130.0,0.0,1,Colorado,Cooper
41,9202,1000,0,0.0,0,2,0,1,1,1,5,40.0,1.0,0.6,406.0,170.0,116.0,36.0,220.0,84.0,84.0,92.0,100.0,1,Colorado,Ski Granby Ranch
43,9895,2010,0,0.0,0,0,0,1,2,0,3,67.0,1.0,2.5,680.0,30.0,100.0,53.0,250.0,65.0,65.0,135.0,0.0,1,Colorado,Sunlight Mountain Resort
48,1600,650,0,0.0,0,0,0,5,0,3,8,25.0,0.0,1.5,107.0,100.0,115.10394265232976,72.0,92.0,30.0,65.0,110.0,64.0,2,Connecticut,Mohawk Mountain
49,525,425,0,0.0,0,0,0,2,2,3,7,14.0,2.0,0.3,51.0,51.0,63.0,55.0,80.0,60.0,60.0,95.0,51.0,2,Connecticut,Mount Southington Ski Area
50,720,550,0,0.0,0,0,0,1,2,2,5,19.0,4.0,0.5,80.0,68.0,80.0,60.0,80.0,45.0,55.0,100.0,40.0,2,Connecticut,Powder Ridge Park
51,1075,625,0,0.0,0,0,0,3,0,2,5,16.0,2.0,1.0,70.0,70.0,84.0,50.0,45.0,62.0,62.0,95.0,66.0,2,Connecticut,Ski Sundown
52,730,300,0,0.0,0,0,0,0,1,4,5,12.0,2.0,0.2,50.0,50.0,126.0,57.0,70.0,42.0,42.0,180.0,35.0,2,Connecticut,Woodbury Ski Area
55,6600,1000,0,0.0,0,0,0,0,4,2,6,51.0,1.0,1.3,740.0,174.87323943661968,115.10394265232976,62.0,200.0,57.91695652173913,42.0,120.0530035335689,0.0,1,Idaho,Kelly Canyon Ski Area
56,5650,1150,0,0.0,0,0,0,1,3,0,4,35.0,2.0,1.5,540.0,174.87323943661968,113.0,84.0,400.0,44.0,47.0,140.0,0.0,0,Idaho,Lookout Pass Ski Area
57,7200,700,0,0.0,0,0,0,0,1,2,3,11.0,0.0,1.5,280.0,174.87323943661968,65.0,81.0,180.0,32.0,32.0,70.0,0.0,1,Idaho,Magic Mountain Ski Area
58,8560,2200,0,0.0,0,0,0,3,0,0,3,54.0,2.0,1.3,1100.0,30.0,85.0,70.0,250.0,47.0,47.0,91.0,30.0,1,Idaho,Pebble Creek Ski Area
59,9000,1000,0,0.0,0,0,0,1,1,1,3,24.0,2.0,1.5,500.0,50.0,138.0,56.0,500.0,57.91695652173913,64.16681003584229,138.0,100.0,1,Idaho,Pomerelle Mountain Resort
62,7200,1400,0,0.0,0,0,0,0,2,1,3,36.0,0.0,0.4,1142.0,174.87323943661968,60.0,71.0,185.31645569620247,43.0,43.0,120.0530035335689,0.0,1,Idaho,Soldier Mountain Ski Area
65,1040,475,0,0.0,0,0,2,4,0,3,9,22.0,3.0,0.2,139.0,139.0,87.0,60.0,50.0,40.0,55.0,112.0,139.0,2,Illinois,Chestnut Mountain Resort
67,790,262,0,0.0,0,0,2,0,2,2,6,15.0,1.0,0.8,28.0,28.0,56.0,38.0,38.0,25.0,35.0,86.0,28.0,2,Illinois,Ski Snowstar Winter Sports Park
68,500,180,0,0.0,0,0,1,0,0,6,7,7.0,1.0,0.1,15.0,15.0,115.10394265232976,53.0,25.0,40.0,40.0,70.0,15.0,2,Illinois,Villa Olivia
69,900,300,0,0.0,0,1,1,3,1,2,8,15.0,2.0,0.4,65.0,65.0,75.0,41.0,18.0,38.0,45.0,80.0,65.0,2,Indiana,Paoli Peaks
70,800,400,0,0.0,0,0,2,3,0,6,11,23.0,2.0,1.0,100.0,100.0,82.0,39.0,24.0,52.0,52.0,90.0,100.0,2,Indiana,Perfect North Slopes
71,1500,300,0,0.0,0,0,1,0,1,0,2,11.0,1.0,0.2,50.0,50.0,115.10394265232976,58.0,30.0,29.0,39.0,120.0530035335689,50.0,2,Iowa,Mt. Crescent Ski Area
72,975,275,0,0.0,0,0,0,2,0,2,4,11.0,2.0,1.0,35.0,35.0,100.0,22.0,40.0,40.0,40.0,100.0,35.0,2,Iowa,Seven Oaks
73,1059,475,0,0.0,0,0,1,1,2,2,6,21.0,2.0,0.6,55.0,55.0,115.10394265232976,46.0,45.0,38.0,46.0,120.0530035335689,55.0,2,Iowa,Sundown Mountain
75,1080,850,0,0.0,0,0,0,1,1,1,3,26.0,2.0,1.0,100.0,48.0,68.0,83.0,69.0,33.0,43.0,70.0,48.0,2,Maine,Camden Snow Bowl
76,495,240,0,0.0,0,0,0,0,2,2,4,22.0,2.0,0.3,45.0,45.0,87.0,58.0,50.0,29.0,55.0,104.0,45.0,2,Maine,Lost Valley
77,2250,1150,0,0.0,0,0,0,0,2,3,5,54.0,1.0,0.5,640.0,175.0,120.0,59.0,125.0,29.0,49.0,120.0,0.0,2,Maine,Mt. Abram Ski Resort
79,450,350,0,0.0,0,0,0,0,1,2,3,20.0,0.0,1.9,70.0,70.0,102.0,55.0,90.0,32.0,32.0,117.0,45.0,2,Maine,New Hermon Mountain
80,1900,1350,0,0.0,0,0,1,2,1,2,6,43.0,3.0,0.8,239.0,234.0,97.0,81.0,110.0,55.0,75.0,103.0,110.0,2,Maine,Shawnee Peak
83,3115,700,0,0.0,0,0,2,5,0,5,12,34.0,3.0,1.5,172.0,118.0,121.0,64.0,100.0,59.0,79.0,120.0,118.0,0,Maryland,Wisp
84,1720,1180,0,0.0,0,0,2,1,1,2,6,47.0,2.0,2.0,180.0,165.0,120.0,68.0,120.0,48.0,68.0,120.0,80.0,2,Massachusetts,Berkshire East
85,1685,465,0,0.0,0,0,0,0,3,2,5,29.0,2.0,0.5,132.0,70.0,115.10394265232976,83.0,50.0,20.0,45.0,120.0530035335689,70.0,2,Massachusetts,Blandford Ski Area
91,1700,400,0,0.0,0,0,0,0,1,3,4,11.0,1.0,1.0,60.0,55.0,106.0,73.0,70.0,20.0,40.0,106.0,35.0,2,Massachusetts,Otis Ridge Ski Area
93,420,210,0,0.0,0,0,0,1,0,3,4,11.0,1.0,0.2,45.0,45.0,105.0,50.0,80.0,57.91695652173913,64.16681003584229,120.0,38.0,2,Massachusetts,Ski Ward
95,500,240,0,0.0,0,0,1,2,5,6,14,25.0,3.0,0.2,100.0,100.0,115.10394265232976,57.0,20.0,39.0,47.0,120.0530035335689,100.0,2,Michigan,Alpine Valley Ski Area
96,820,220,0,0.0,0,0,1,0,0,5,6,12.0,0.0,1.4332307692307693,80.0,42.0,115.10394265232976,58.0,52.0,35.0,35.0,120.0530035335689,80.0,2,Michigan,Apple Mountain
99,850,465,0,0.0,0,0,0,0,4,2,6,26.0,2.0,1.0,170.0,86.0,95.0,42.0,210.0,49.0,65.0,115.0,0.0,2,Michigan,Big Snow Resort - Blackjack
102,1569,485,0,0.0,0,0,1,2,1,1,5,34.0,2.0,1.2,200.0,200.0,118.0,82.0,140.0,39.0,49.0,130.0,150.0,2,Michigan,Caberfae Peaks
105,1935,638,0,0.0,0,0,1,1,5,2,9,32.0,2.0,1.0,240.0,150.0,120.0,60.0,204.0,49.0,49.0,120.0,0.0,2,Michigan,Big Snow Resort - Indianhead Mountain
106,1357,600,0,0.0,0,0,0,1,2,1,4,35.0,3.0,0.7,169.0,143.0,139.0,60.0,210.0,57.91695652173913,64.16681003584229,135.0,89.0,2,Michigan,Marquette Mountain
107,1140,440,0,0.0,0,0,0,0,2,2,4,25.0,2.0,0.8,112.0,112.0,114.0,83.0,275.0,49.0,49.0,100.0,100.0,2,Michigan,Mont Ripley
110,440,200,0,0.0,0,0,0,0,2,2,4,12.0,0.0,0.1,45.0,45.0,100.0,70.0,120.0,22.0,34.0,90.0,45.0,2,Michigan,Mt. Holiday Ski Area
111,1105,350,0,0.0,0,1,2,3,1,6,13,19.0,0.0,0.1,100.0,100.0,115.10394265232976,63.0,42.0,37.0,45.0,102.0,100.0,2,Michigan,Mount Holly
113,1335,500,0,0.0,0,0,0,1,2,3,6,17.0,1.0,1.4,186.0,186.0,110.0,45.0,100.0,57.91695652173913,45.0,110.0,40.0,2,Michigan,Norway Mountain
116,1650,500,0,0.0,0,0,0,1,2,1,4,28.0,1.0,0.5,160.0,160.0,110.0,80.0,60.0,57.91695652173913,45.0,126.0,80.0,2,Michigan,Pine Mountain
119,1230,210,0,0.0,0,0,0,1,0,5,6,12.0,2.0,0.0,40.0,40.0,115.10394265232976,72.0,185.31645569620247,30.0,35.0,120.0530035335689,40.0,2,Michigan,Snow Snake Mountain Ski Area
120,1200,225,0,0.0,0,0,2,1,0,4,7,11.0,2.0,0.1,60.0,60.0,89.0,51.0,60.0,32.0,42.0,80.0,60.0,2,Michigan,Swiss Valley
122,850,250,0,0.0,0,0,1,1,2,4,8,16.0,2.0,0.3,50.0,50.0,80.0,58.0,185.31645569620247,35.0,45.0,120.0530035335689,50.0,2,Michigan,Timber Ridge
123,1345,225,0,0.0,0,0,0,3,0,2,5,23.0,3.0,0.2,80.0,80.0,63.0,65.0,175.0,57.91695652173913,64.16681003584229,101.0,80.0,2,Michigan,Treetops Resort
125,1620,290,0,0.0,0,0,1,2,0,3,6,15.0,2.0,0.2,35.0,35.0,100.0,38.0,55.0,45.0,45.0,110.0,35.0,2,Minnesota,Andes Tower Hills Ski Area
126,1225,309,0,0.0,0,0,2,1,0,5,8,16.0,0.0,0.2,45.0,45.0,115.0,65.0,60.0,34.0,47.0,112.0,45.0,2,Minnesota,Buck Hill
127,1510,230,0,0.0,0,0,0,2,2,2,6,17.0,0.0,0.3,30.0,30.0,57.0,70.0,78.0,44.0,44.0,60.0,30.0,2,Minnesota,Buena Vista Ski Area
128,1150,425,0,0.0,0,0,0,0,2,1,3,14.0,1.0,1.0,40.0,35.0,57.0,39.0,48.0,23.0,37.0,56.0,35.0,2,Minnesota,Coffee Mill Ski & Snowboard Resort
130,1972,500,0,0.0,0,1,1,1,2,2,7,35.0,2.0,0.8,202.0,202.0,120.0,35.0,85.0,49.0,58.0,125.0,121.0,2,Minnesota,Giants Ridge Resort
131,1075,175,0,0.0,0,0,2,1,0,5,8,14.0,1.0,1.0,35.0,35.0,110.0,61.0,55.0,35.34,35.34,115.0,35.0,2,Minnesota,Hyland Ski & Snowboard Area
134,790,300,0,0.0,0,0,1,0,2,3,6,15.0,4.0,1.4332307692307693,60.0,60.0,97.0,58.0,45.0,36.0,48.0,113.0,60.0,2,Minnesota,Powder Ridge Ski Area
135,1320,700,0,0.0,0,1,1,2,1,2,7,22.0,3.0,1.0,175.0,175.0,100.0,45.0,100.0,59.0,59.0,125.0,144.0,2,Minnesota,Spirit Mountain
138,2566,310,0,0.0,0,0,2,2,0,3,7,17.0,0.0,0.1,30.0,30.0,115.10394265232976,37.0,26.0,49.0,49.0,120.0530035335689,17.0,2,Missouri,Hidden Valley Ski Area
139,1100,300,0,0.0,0,0,0,2,1,2,5,14.0,2.0,0.3,30.0,30.0,69.0,33.0,20.0,37.0,47.0,85.0,30.0,2,Missouri,Snow Creek
144,7330,1580,0,0.0,0,0,0,0,5,1,6,110.0,6.0,3.0,1600.0,150.0,94.0,78.0,180.0,48.0,48.0,100.0,100.0,1,Montana,Great Divide
146,8520,2020,0,0.0,0,0,0,0,1,1,2,22.0,0.0,1.3,255.0,174.87323943661968,115.10394265232976,83.0,160.0,39.0,39.0,120.0530035335689,0.0,1,Montana,Maverick Mountain
147,7600,2600,0,0.0,0,0,0,0,2,2,4,37.0,0.0,1.2,950.0,20.0,115.10394265232976,58.0,300.0,50.0,50.0,120.0530035335689,10.0,1,Montana,Montana Snowbowl
149,8200,1400,0,0.0,0,0,0,1,2,1,4,36.0,1.0,1.8,640.0,174.87323943661968,86.0,83.0,250.0,47.0,47.0,85.0,0.0,1,Montana,Showdown Montana
154,11289,860,0,0.0,0,0,2,1,0,0,3,24.0,1.0,0.3,195.0,50.0,144.0,56.0,161.0,70.0,70.0,150.0,0.0,1,Nevada,Lee Canyon
156,2350,1750,0,0.0,0,2,1,3,2,1,9,68.0,3.0,3.0,311.0,240.0,115.0,54.0,120.0,79.0,89.0,130.0,0.0,2,New Hampshire,Attitash
157,2350,1100,0,0.0,0,0,0,1,1,3,5,45.0,0.0,1.6,143.0,120.0,110.0,84.0,125.0,45.0,59.0,107.0,0.0,2,New Hampshire,Black Mountain
160,2000,1200,0,0.0,0,1,1,2,1,2,7,57.0,4.0,1.0,200.0,192.0,107.0,82.0,150.0,57.91695652173913,64.16681003584229,128.0,0.0,2,New Hampshire,Cranmore Mountain Resort
162,1943,969,0,0.0,0,0,1,0,1,2,4,28.0,1.0,1.1,107.0,54.0,104.0,63.0,100.0,50.0,50.0,105.0,0.0,2,New Hampshire,Dartmouth Skiway
163,2300,1400,0,0.0,0,1,2,2,0,1,6,55.0,4.0,1.5,227.0,176.0,106.0,82.0,120.0,80.0,92.0,120.0530035335689,60.0,2,New Hampshire,Gunstock
164,850,350,0,0.0,0,0,0,3,0,3,6,17.0,2.0,0.3,48.0,45.0,105.0,57.0,120.0,42.0,58.0,107.0,23.0,2,New Hampshire,King Pine
166,2743,1510,0,0.0,0,2,1,2,1,4,10,66.0,4.0,0.8,232.0,215.0,130.0,71.0,100.0,83.0,93.0,136.0,0.0,0,New Hampshire,Mount Sunapee
167,1460,770,0,0.0,0,0,0,4,2,5,11,28.0,3.0,1.5,115.0,115.0,109.0,56.0,100.0,58.0,72.0,112.0,93.0,2,New Hampshire,Pats Peak
169,4004,2020,0,0.0,0,2,0,2,3,4,11,62.0,4.0,1.9,265.0,220.0,142.0,54.0,148.0,79.0,93.0,142.0,0.0,0,New Hampshire,Waterville Valley
170,1800,700,0,0.0,0,0,0,0,1,3,4,30.0,1.0,1.0,85.0,60.0,105.0,64.0,110.0,30.0,45.0,105.0,55.0,2,New Hampshire,Whaleback Mountain
171,4062,2112,0,0.0,0,1,0,3,0,1,5,48.0,0.0,2.8,225.0,200.0,156.0,61.0,200.0,79.0,89.0,150.0,0.0,0,New Hampshire,Wildcat Mountain
172,726,274,0,0.0,0,0,0,0,2,3,5,12.0,1.0,0.3,23.0,23.0,80.0,58.0,45.0,57.91695652173913,64.16681003584229,120.0530035335689,14.0,2,New Jersey,Campgaw Mountain
174,10677,2077,0,0.0,0,2,0,0,3,2,7,81.0,3.0,3.0,560.0,230.0,101.0,53.0,210.0,77.0,77.0,101.0,50.0,1,New Mexico,Angel Fire Resort
175,10078,400,0,0.0,0,0,0,0,0,0,0,33.0,0.0,2.5,600.0,174.87323943661968,130.0,34.0,240.0,20.0,20.0,140.0,0.0,1,New Mexico,Enchanted Forest Ski Area
176,10441,1410,0,0.0,0,0,1,1,3,1,6,45.0,2.0,0.6,750.0,35.0,89.0,62.0,163.0,49.0,49.0,117.0,0.0,1,New Mexico,Pajarito Mountain Ski Area
177,10350,1600,0,0.0,0,0,1,3,1,2,7,63.0,3.0,2.5,209.0,174.87323943661968,110.0,60.0,214.0,79.0,79.0,120.0530035335689,0.0,1,New Mexico,Red River
179,9255,1055,0,0.0,0,0,1,2,0,3,6,42.0,4.0,0.5,200.0,140.0,127.0,67.0,190.0,47.0,47.0,143.0,0.0,1,New Mexico,Sipapu Ski Resort
181,12075,1725,0,0.0,0,0,1,2,2,2,7,83.0,1.0,3.0,660.0,275.0,107.0,73.0,225.0,80.0,80.0,130.0,0.0,1,New Mexico,Ski Santa Fe
